t,c_in
393.375,8.19E-07
393.953,7.81E-07
394.531,6.51E-07
395.125,8.82E-07
395.719,8.55E-07
396.328,7.80E-07
396.937,8.00E-07
397.515,8.35E-07
398.094,7.61E-07
398.672,7.45E-07
399.25,7.63E-07
399.828,7.30E-07
400.422,7.49E-07
401,7.76E-07
401.578,7.69E-07
402.172,7.98E-07
402.765,7.34E-07
403.359,7.94E-07
403.937,8.72E-07
404.515,7.35E-07
405.109,7.53E-07
405.687,8.17E-07
406.265,7.81E-07
406.859,8.26E-07
407.437,7.74E-07
408.015,7.88E-07
408.625,7.22E-07
409.203,7.76E-07
409.797,8.83E-07
410.375,7.57E-07
410.969,8.52E-07
411.547,7.25E-07
412.125,6.90E-07
412.703,7.08E-07
413.281,9.13E-07
413.875,7.95E-07
414.453,8.02E-07
415.031,7.52E-07
415.625,7.46E-07
416.203,7.69E-07
416.781,7.49E-07
417.375,7.26E-07
417.953,7.90E-07
418.547,6.69E-07
419.125,7.26E-07
419.703,8.23E-07
420.281,8.55E-07
420.875,7.13E-07
421.453,7.79E-07
422.031,7.57E-07
422.625,6.50E-07
423.203,7.60E-07
423.781,6.97E-07
424.359,6.43E-07
424.937,7.45E-07
425.515,6.68E-07
426.094,8.27E-07
426.687,7.34E-07
427.265,6.82E-07
427.844,6.83E-07
428.437,7.22E-07
429.015,7.64E-07
429.594,7.92E-07
430.172,6.48E-07
430.75,7.83E-07
431.344,7.35E-07
431.922,7.28E-07
432.5,7.51E-07
433.094,7.65E-07
433.672,7.62E-07
434.25,7.68E-07
434.844,7.14E-07
435.422,6.35E-07
436,7.37E-07
436.578,7.39E-07
437.172,6.78E-07
437.75,7.49E-07
438.344,8.60E-07
438.922,7.32E-07
439.5,7.93E-07
440.078,8.05E-07
440.672,8.30E-07
441.25,7.53E-07
441.828,7.60E-07
442.406,7.08E-07
443,6.79E-07
443.578,7.62E-07
444.172,7.56E-07
444.75,6.80E-07
445.344,6.46E-07
445.922,8.03E-07
446.515,6.73E-07
447.109,7.15E-07
447.687,6.86E-07
448.265,7.20E-07
448.844,6.76E-07
449.437,7.64E-07
450.015,7.05E-07
450.594,7.32E-07
451.187,7.19E-07
451.765,7.28E-07
452.344,7.45E-07
452.922,8.01E-07
453.5,7.01E-07
454.078,8.29E-07
454.672,6.27E-07
455.25,7.91E-07
455.828,7.32E-07
456.422,7.49E-07
457,6.79E-07
457.578,7.35E-07
458.156,7.82E-07
458.75,7.88E-07
459.328,7.78E-07
459.906,7.67E-07
460.484,6.85E-07
461.078,7.15E-07
461.656,7.29E-07
462.234,6.91E-07
462.828,6.90E-07
463.422,5.91E-07
464.015,6.84E-07
464.594,6.53E-07
465.187,7.71E-07
465.765,7.26E-07
466.344,7.32E-07
466.937,7.38E-07
467.515,6.75E-07
468.094,6.18E-07
468.703,7.29E-07
469.297,8.02E-07
469.875,7.61E-07
470.453,7.31E-07
471.031,1.35E-06
471.625,5.37E-06
472.203,1.88E-05
472.797,6.10E-05
473.375,0.000158255
473.953,0.000346176
474.531,0.000653791
475.125,0.001104974
475.703,0.001744248
476.281,0.002486068
476.859,0.003384136
477.453,0.004403768
478.015,0.005551186
478.594,0.006880913
479.156,0.0084165
479.75,0.010192363
480.312,0.012021699
480.875,0.013934143
481.437,0.015765107
482.015,0.017303762
482.594,0.018215595
483.156,0.018208657
483.734,0.017415962
484.297,0.015809095
484.875,0.013718616
485.437,0.011567992
486.015,0.009465838
486.594,0.007706737
487.172,0.006260537
487.734,0.005137945
488.312,0.004226357
488.89,0.003537916
489.453,0.003005097
490.031,0.002568769
490.594,0.00221907
491.172,0.001929949
491.734,0.001678248
492.344,0.001459034
492.922,0.001268815
493.5,0.001117609
494.078,0.000940959
494.656,0.000825728
495.234,0.000728823
495.828,0.000643943
496.406,0.000566759
496.984,0.000499008
497.562,0.000437399
498.14,0.000392349
498.719,0.000343474
499.312,0.000305566
499.89,0.000267126
500.469,0.000239296
501.062,0.00021239
501.64,0.000190366
502.219,0.00016785
502.797,0.000149855
503.39,0.000133849
503.969,0.000117637
504.547,0.000104374
505.14,9.60E-05
505.719,8.60E-05
506.344,7.63E-05
506.937,6.86E-05
507.515,6.25E-05
508.109,5.67E-05
508.687,5.04E-05
509.281,4.73E-05
509.859,4.15E-05
510.437,3.80E-05
511.015,3.36E-05
511.609,3.07E-05
512.187,2.94E-05
512.781,2.69E-05
513.375,2.47E-05
513.953,2.23E-05
514.547,2.09E-05
515.125,1.89E-05
515.719,1.85E-05
516.328,1.67E-05
516.922,1.57E-05
517.515,1.42E-05
518.109,1.36E-05
518.687,1.32E-05
519.265,1.27E-05
519.844,1.14E-05
520.437,1.04E-05
521.031,1.04E-05
521.625,9.88E-06
522.219,9.11E-06
522.797,9.20E-06
523.375,8.92E-06
523.953,8.07E-06
524.531,7.65E-06
525.109,7.41E-06
525.703,7.38E-06
526.281,7.55E-06
526.859,6.91E-06
527.453,6.79E-06
528.031,6.47E-06
528.625,6.42E-06
529.203,6.51E-06
529.781,5.96E-06
530.359,5.72E-06
530.937,5.72E-06
531.515,5.47E-06
532.109,5.50E-06
532.687,5.19E-06
533.265,4.97E-06
533.844,4.93E-06
534.422,4.94E-06
535.015,4.81E-06
535.594,4.60E-06
536.172,4.59E-06
536.765,4.56E-06
537.344,4.37E-06
537.922,4.19E-06
538.515,4.22E-06
539.094,4.24E-06
539.687,4.41E-06
540.265,4.17E-06
540.859,3.80E-06
541.453,4.00E-06
542.031,3.60E-06
542.625,3.66E-06
543.203,3.62E-06
543.781,4.08E-06
544.359,3.42E-06
544.953,3.61E-06
545.531,3.55E-06
546.109,3.36E-06
546.703,3.55E-06
547.281,3.53E-06
547.859,3.34E-06
548.453,3.41E-06
549.031,3.59E-06
549.609,3.07E-06
550.187,3.12E-06
550.781,3.12E-06
551.359,3.25E-06
551.937,3.04E-06
552.531,2.96E-06
553.109,3.08E-06
553.703,2.99E-06
554.281,2.93E-06
554.875,3.05E-06
555.469,2.76E-06
556.047,2.79E-06
556.625,2.87E-06
557.219,2.86E-06
557.797,2.80E-06
558.39,2.93E-06
558.984,2.50E-06
559.562,2.75E-06
560.156,2.60E-06
560.75,2.68E-06
561.328,2.49E-06
561.922,2.58E-06
562.5,2.56E-06
563.094,2.51E-06
563.672,2.79E-06
564.25,2.60E-06
564.859,2.50E-06
565.437,2.49E-06
566.031,2.50E-06
566.609,2.58E-06
567.203,2.39E-06
567.781,2.47E-06
568.359,2.46E-06
568.953,2.39E-06
569.531,2.35E-06
570.109,2.27E-06
570.687,2.18E-06
571.265,2.38E-06
571.859,2.21E-06
572.437,2.32E-06
573.015,2.16E-06
573.594,2.23E-06
574.187,2.15E-06
574.765,2.09E-06
575.344,2.20E-06
575.937,2.18E-06
576.515,2.27E-06
577.094,2.06E-06
577.687,2.19E-06
578.265,2.22E-06
578.844,2.14E-06
579.437,2.04E-06
580.047,1.98E-06
580.64,1.94E-06
581.234,2.15E-06
581.812,1.92E-06
582.406,1.84E-06
582.984,1.90E-06
583.562,2.04E-06
584.156,1.96E-06
584.734,2.12E-06
585.312,2.09E-06
585.906,2.12E-06
586.484,1.71E-06
587.062,1.85E-06
587.64,1.97E-06
588.219,2.01E-06
588.812,1.89E-06
589.406,1.93E-06
589.984,1.91E-06
590.562,1.86E-06
591.14,1.89E-06
591.719,1.80E-06
592.344,1.78E-06
592.922,1.90E-06
593.5,1.79E-06
594.078,1.75E-06
594.656,1.69E-06
595.25,1.77E-06
595.828,1.74E-06
596.422,1.71E-06
597,1.79E-06
597.578,1.68E-06
598.156,1.75E-06
598.734,1.70E-06
599.312,1.77E-06
599.906,1.61E-06
600.484,1.68E-06
601.062,1.82E-06
601.64,1.41E-06
602.234,1.75E-06
602.812,1.61E-06
603.39,1.56E-06
603.969,1.57E-06
604.562,1.58E-06
605.14,1.66E-06
605.719,1.58E-06
606.312,1.55E-06
606.89,1.67E-06
607.469,1.56E-06
608.062,1.56E-06
608.64,1.62E-06
609.219,1.77E-06
609.812,1.69E-06
610.39,1.61E-06
610.969,1.40E-06
611.547,1.80E-06
612.14,1.54E-06
612.719,1.59E-06
613.297,1.43E-06
613.89,1.42E-06
614.469,1.43E-06
615.047,1.46E-06
615.609,1.45E-06
616.203,1.53E-06
616.797,1.65E-06
617.375,1.73E-06
617.969,1.58E-06
618.547,1.51E-06
619.125,1.52E-06
619.703,1.45E-06
620.297,1.44E-06
620.875,1.48E-06
